a is a student and a is a tetrahedron;WB;9

a is a cube and a is a prime;WB;9

a is a cube , b is not a dodecahedron or a is not a prime;WB;15

there is a tautology;WB;4

a is not a cube , a is a cube and b is not a tetrahedron;WB;15

a is a dodecahedron , b is a tetrahedron and a is not a tetrahedron;WB;14

there is a contradiction and a is not a dodecahedron;WB;10

if a is not a tetrahedron or b is a cube , then b is a tetrahedron and a is not a tetrahedron;WB;22

at least one of these holds : \item a is a student , a is a cube , b is not a prime , b is not a student \item c is a tetrahedron and a is a prime;WB;33

if if a is a cube and b is a cube , then b is a student , then a is a prime and c is a cube;NWB;26

if c is not a dodecahedron , then a is a prime , a is a dodecahedron and b is a tetrahedron;WB;20

a is a cube and a is a tetrahedron;WB;9

if if if b is a tetrahedron , then b is a dodecahedron , then b is a dodecahedron , then a is not a student;NWB;23

a is a tetrahedron and b is a cube;WB;9

if b is not a cube or b is a student , then a is a student;WB;16

if a is not a dodecahedron and a is not a tetrahedron , then if a is a cube or a is a dodecahedron , then a is a tetrahedron and b is a dodecahedron;NWB;33

if a is a cube , then a is a prime;WB;10

if a is a dodecahedron , then a is a cube , b is a cube and c is a student;WB;19

if a is not a cube or a is not a student , then b is a cube , c is a tetrahedron and c is a student;WB;26

if b is a student or c is a dodecahedron , then a is not a student;WB;16

a is not a prime , a is a tetrahedron , a is not a prime or b is not a student;WB;20

all these hold : \item if if a is a tetrahedron , then a is a cube , then b is a tetrahedron or b is a dodecahedron \item a is a prime;NWB;28

a is a student or a is a cube;WB;9

b is a dodecahedron , a is a student or b is a prime;WB;13

all these hold : \item a is not a prime , a is not a cube \item a is not a tetrahedron or b is not a dodecahedron;WB;24

if a is a student or b is not a prime , then a is not a dodecahedron , b is a cube or a is a student;WB;26

if if a is a student , then b is a cube , then if a is a tetrahedron , then a is a tetrahedron , a is a dodecahedron and a is a prime;NWB;31

a is not a cube , b is not a cube or c is not a prime;WB;16

all these hold : \item there is a tautology or a is a prime \item b is not a student , a is a prime or c is a tetrahedron;WB;26

at least one of these holds : \item a is a tetrahedron and a is not a dodecahedron , a is a student and b is a tetrahedron \item a is a tetrahedron;WB;29

a is not a dodecahedron , b is a student , a is a cube or c is a student;WB;18

b is not a student , a is not a tetrahedron or a is a cube;WB;15

if a is a dodecahedron , then a is a student and there is a tautology;WB;15

a is a tetrahedron , b is a prime , c is a cube or a is a prime;WB;17

if if if a is a student , then a is a dodecahedron , then if b is a student , then a is a dodecahedron , then b is a prime;NWB;28

a is a student;WB;4

if a is a prime or a is a student , then a is not a tetrahedron;WB;16

if a is a tetrahedron and b is a dodecahedron , then c is a student and a is not a cube;WB;21

a is a cube and b is not a cube;WB;10

there is a contradiction and b is not a cube;WB;10

if b is a cube or a is a dodecahedron , then a is a cube , b is not a dodecahedron or c is a dodecahedron;WB;25

if a is a student , then b is not a prime;WB;11

at least one of these holds : \item there is a tautology , b is a cube , a is a student \item c is a cube and d is not a cube;WB;28

if a is a dodecahedron , then a is a tetrahedron;WB;10

if if if b is a dodecahedron , then a is a tetrahedron , then a is a cube , then a is not a tetrahedron;NWB;23

if if a is a cube , then b is a prime and b is a tetrahedron , then if b is a student , then if c is a student , then a is a tetrahedron;NWB;33

all these hold : \item c is not a prime or b is a cube \item a is not a prime;WB;18

if a is a tetrahedron , then a is a student;WB;10

at least one of these holds : \item a is a student and b is a prime , b is a cube \item c is a cube;WB;23

if a is a prime , then b is a cube;WB;10


